topic,framing
4,generic
0,generic
0,generic
2,generic
3,generic
2,generic
0,generic
0,generic
0,generic
6,generic
0,generic
6,generic
0,generic
1,generic
1,generic
1,generic
3,generic
5,generic
3,generic
-1,generic
0,generic
3,generic
1,generic
3,generic
3,generic
6,generic
5,generic
0,generic
2,generic
0,generic
1,generic
4,generic
3,generic
6,generic
1,generic
4,generic
0,generic
1,generic
0,generic
2,generic
4,generic
0,generic
9,generic
1,generic
0,generic
0,generic
-1,generic
0,generic
3,generic
0,generic
3,generic
0,generic
1,generic
3,generic
6,generic
-1,generic
3,generic
1,generic
2,generic
2,generic
0,generic
1,generic
2,generic
0,generic
2,generic
0,generic
0,generic
0,generic
4,generic
0,generic
2,generic
1,generic
0,generic
3,generic
3,generic
1,generic
1,generic
0,generic
2,generic
0,generic
3,generic
0,generic
0,generic
2,generic
2,generic
3,generic
0,generic
-1,generic
2,generic
2,generic
3,generic
9,generic
2,generic
3,generic
3,generic
4,generic
0,generic
3,generic
2,generic
2,generic
0,generic
2,generic
2,generic
5,generic
1,generic
4,generic
1,generic
1,generic
2,generic
1,generic
1,generic
0,generic
0,generic
0,generic
2,generic
4,generic
1,generic
10,generic
3,generic
3,generic
3,generic
2,generic
1,generic
0,generic
2,generic
1,generic
1,generic
2,generic
1,generic
3,generic
1,generic
0,generic
3,generic
5,generic
1,generic
2,generic
0,generic
3,generic
0,generic
4,generic
3,generic
3,generic
3,generic
2,generic
5,generic
2,generic
2,generic
6,generic
6,generic
4,generic
0,generic
-1,generic
5,generic
0,generic
0,generic
0,generic
6,generic
0,generic
3,generic
3,generic
0,generic
2,generic
7,generic
3,generic
0,generic
4,generic
2,generic
6,generic
6,generic
0,generic
0,generic
-1,generic
3,generic
0,generic
2,generic
4,generic
4,generic
0,generic
4,generic
0,generic
0,generic
3,generic
9,generic
2,generic
3,generic
0,generic
3,generic
0,generic
3,generic
5,generic
10,generic
0,generic
1,generic
1,generic
0,generic
5,generic
1,generic
1,generic
1,generic
1,generic
0,generic
3,generic
1,generic
0,generic
0,generic
3,generic
0,generic
1,generic
-1,generic
0,generic
0,generic
2,generic
0,generic
3,generic
0,generic
4,generic
1,generic
7,generic
1,generic
0,generic
1,generic
5,generic
3,generic
0,generic
0,generic
1,generic
5,generic
1,generic
1,generic
2,generic
2,generic
2,generic
2,generic
1,generic
3,generic
2,generic
1,generic
9,generic
3,generic
4,generic
3,generic
0,generic
6,generic
1,generic
5,generic
0,generic
3,generic
3,generic
2,generic
1,generic
0,generic
1,generic
4,generic
6,generic
1,generic
3,generic
1,generic
2,generic
2,generic
2,generic
1,generic
6,generic
1,generic
0,generic
3,generic
-1,generic
1,generic
0,generic
2,generic
1,generic
2,generic
1,generic
1,generic
5,generic
1,generic
1,generic
4,generic
0,generic
0,generic
0,generic
0,generic
2,generic
0,generic
0,generic
4,generic
2,generic
1,generic
0,generic
6,generic
4,generic
1,generic
9,generic
1,generic
0,generic
0,generic
1,generic
1,generic
4,generic
0,generic
1,generic
3,generic
3,generic
2,generic
0,generic
1,generic
-1,generic
2,generic
1,generic
1,generic
0,generic
0,generic
0,generic
2,generic
4,generic
-1,generic
-1,generic
0,generic
3,generic
3,generic
3,generic
2,generic
6,generic
3,generic
1,generic
1,generic
2,generic
0,generic
1,generic
2,generic
3,generic
1,generic
3,generic
3,generic
4,generic
0,generic
1,generic
0,generic
1,generic
0,generic
0,generic
3,generic
1,generic
2,generic
0,generic
0,generic
2,generic
2,generic
1,generic
1,generic
1,generic
0,generic
0,generic
3,generic
1,generic
0,generic
2,generic
1,generic
2,generic
2,generic
3,generic
3,generic
0,generic
1,generic
6,generic
3,generic
3,generic
3,generic
0,generic
5,generic
2,generic
-1,generic
6,generic
0,generic
3,generic
4,generic
1,generic
5,generic
3,generic
1,generic
-1,generic
3,generic
2,generic
2,generic
1,generic
0,generic
4,generic
-1,generic
-1,generic
8,generic
6,generic
2,generic
5,generic
-1,generic
1,generic
2,generic
0,generic
2,generic
-1,generic
0,generic
1,generic
2,generic
4,generic
1,generic
0,generic
8,generic
0,generic
1,generic
-1,generic
0,generic
0,generic
0,generic
10,generic
5,generic
1,generic
1,generic
0,generic
5,generic
6,generic
1,generic
0,generic
1,generic
0,generic
2,generic
2,generic
3,generic
4,generic
-1,generic
1,generic
0,generic
1,generic
0,generic
2,generic
0,generic
1,generic
4,generic
1,generic
1,generic
1,generic
0,generic
8,generic
2,generic
6,generic
2,generic
0,generic
0,generic
0,generic
5,generic
1,generic
3,generic
2,generic
0,generic
0,generic
2,generic
1,generic
5,generic
6,generic
2,generic
8,generic
0,generic
2,generic
0,generic
1,generic
4,generic
6,generic
1,generic
0,generic
1,generic
1,generic
0,generic
2,generic
4,generic
4,generic
1,generic
0,generic
-1,generic
2,generic
7,generic
5,generic
4,generic
1,generic
0,generic
0,generic
3,generic
0,generic
5,generic
2,generic
1,generic
2,generic
2,generic
1,generic
1,generic
5,generic
2,generic
3,generic
1,generic
0,generic
4,generic
2,generic
3,generic
2,generic
0,generic
6,generic
0,generic
0,generic
0,generic
3,generic
0,generic
1,generic
4,generic
0,generic
3,generic
3,generic
1,generic
2,generic
2,generic
6,generic
0,generic
-1,generic
2,generic
1,generic
4,generic
4,generic
1,generic
4,generic
6,generic
4,generic
1,generic
2,generic
2,generic
5,generic
0,generic
2,generic
5,generic
3,generic
5,generic
1,generic
2,generic
0,generic
0,generic
2,generic
9,generic
1,generic
3,generic
0,generic
3,generic
1,generic
3,generic
4,generic
6,generic
2,generic
8,generic
2,generic
3,generic
2,generic
3,generic
0,generic
1,generic
2,generic
3,generic
5,generic
0,generic
1,generic
3,generic
2,generic
2,generic
0,generic
1,generic
0,generic
0,generic
0,generic
1,generic
2,generic
1,generic
3,generic
0,generic
0,generic
3,generic
4,generic
5,generic
5,generic
3,generic
-1,generic
-1,generic
0,generic
6,generic
0,generic
2,generic
2,generic
6,generic
5,generic
5,generic
1,generic
5,generic
2,generic
-1,generic
1,generic
0,generic
1,generic
10,generic
2,generic
1,generic
3,generic
0,generic
4,generic
0,generic
4,generic
1,generic
6,generic
0,generic
3,generic
0,generic
2,generic
2,generic
2,generic
3,generic
3,generic
5,generic
0,generic
4,generic
0,generic
6,generic
2,generic
1,generic
3,generic
-1,generic
4,generic
2,generic
0,generic
3,generic
2,generic
0,generic
3,generic
0,generic
0,generic
3,generic
5,generic
2,generic
-1,generic
3,generic
1,generic
1,generic
4,generic
0,generic
-1,generic
5,generic
-1,generic
1,generic
1,generic
2,generic
1,generic
-1,generic
2,generic
2,generic
3,generic
1,generic
0,generic
0,generic
4,generic
0,generic
3,generic
5,generic
0,generic
1,generic
0,generic
1,generic
3,generic
0,generic
0,generic
2,generic
3,generic
6,generic
0,generic
1,generic
1,generic
1,generic
3,generic
2,generic
7,generic
0,generic
0,generic
0,generic
2,generic
0,generic
8,generic
0,generic
3,generic
4,generic
6,generic
0,generic
0,generic
5,generic
2,generic
2,generic
0,generic
2,generic
0,generic
-1,generic
5,generic
0,generic
-1,generic
0,generic
3,generic
2,generic
2,generic
3,generic
3,generic
3,generic
0,generic
3,generic
0,generic
1,generic
3,generic
0,generic
0,generic
2,generic
6,generic
2,generic
0,generic
0,generic
1,generic
3,generic
0,generic
2,generic
4,generic
5,generic
1,generic
2,generic
1,generic
7,generic
1,generic
3,generic
6,generic
2,generic
5,generic
1,generic
6,generic
1,generic
0,generic
1,generic
4,generic
0,generic
-1,generic
3,generic
0,generic
2,generic
5,generic
4,generic
3,generic
2,generic
3,generic
3,generic
0,generic
1,generic
0,generic
3,generic
1,generic
0,generic
-1,generic
5,generic
0,generic
1,generic
0,generic
5,generic
1,generic
1,generic
7,generic
3,generic
1,generic
0,generic
3,generic
2,generic
1,generic
0,generic
3,generic
6,generic
2,generic
4,generic
0,generic
0,generic
5,generic
1,generic
2,generic
0,generic
0,generic
0,generic
0,generic
1,generic
-1,generic
0,generic
2,generic
7,generic
3,generic
1,generic
2,generic
2,generic
0,generic
3,generic
2,generic
2,generic
4,generic
2,generic
8,generic
1,generic
1,generic
6,generic
3,generic
5,generic
5,generic
2,generic
3,generic
2,generic
3,generic
3,generic
4,generic
5,generic
0,generic
5,generic
2,generic
1,generic
3,generic
4,generic
0,generic
9,generic
1,generic
2,generic
2,generic
0,generic
6,generic
6,generic
3,generic
0,generic
0,generic
0,generic
3,generic
1,generic
7,generic
1,generic
0,generic
0,generic
4,generic
1,generic
5,generic
4,generic
2,generic
6,generic
5,generic
4,generic
0,generic
0,generic
7,generic
5,generic
1,generic
5,generic
0,generic
5,generic
0,generic
2,generic
0,generic
0,generic
0,generic
9,generic
7,generic
1,generic
0,generic
3,generic
5,generic
4,generic
1,generic
0,generic
6,generic
-1,generic
1,generic
10,generic
2,generic
0,generic
2,generic
2,generic
5,generic
4,generic
3,generic
0,generic
4,generic
2,generic
2,generic
1,generic
6,generic
0,generic
1,generic
1,generic
2,generic
-1,generic
1,generic
0,generic
0,generic
1,generic
1,generic
1,generic
4,generic
0,generic
1,generic
3,generic
7,generic
2,generic
0,generic
5,generic
1,generic
2,generic
1,generic
5,generic
1,generic
4,generic
-1,generic
9,generic
4,generic
2,generic
2,generic
1,generic
1,generic
1,generic
1,generic
3,generic
0,generic
-1,generic
0,generic
1,generic
0,generic
0,generic
1,generic
0,generic
0,generic
1,generic
2,generic
0,generic
2,generic
3,generic
10,generic
3,generic
1,generic
3,generic
1,generic
0,generic
0,generic
2,generic
3,generic
0,generic
1,generic
2,generic
2,generic
3,generic
0,generic
1,generic
1,generic
5,generic
0,generic
0,generic
8,generic
0,generic
1,generic
2,generic
3,generic
6,generic
-1,generic
3,generic
0,generic
6,generic
3,generic
3,generic
1,generic
0,generic
-1,generic
1,generic
2,generic
1,generic
2,generic
2,generic
1,generic
2,generic
2,generic
0,generic
0,generic
3,generic
4,generic
6,generic
0,generic
2,generic
2,generic
0,generic
2,generic
6,generic
0,generic
0,generic
2,generic
7,generic
0,generic
0,generic
2,generic
0,generic
4,generic
2,generic
2,generic
0,generic
1,generic
1,generic
0,generic
2,generic
5,generic
2,generic
0,generic
4,generic
3,generic
0,generic
0,generic
1,generic
3,generic
2,generic
3,generic
6,generic
1,generic
5,generic
0,generic
0,generic
0,generic
6,generic
0,generic
0,generic
2,generic
3,generic
2,generic
3,generic
5,generic
0,generic
3,generic
2,generic
2,generic
1,generic
0,generic
2,generic
5,generic
0,generic
5,generic
0,generic
1,generic
3,generic
1,generic
0,generic
4,generic
5,generic
1,generic
0,generic
-1,generic
3,generic
0,generic
3,generic
2,generic
4,generic
1,generic
7,generic
1,generic
2,generic
0,generic
0,generic
-1,generic
2,generic
0,generic
6,generic
0,generic
4,generic
4,generic
1,generic
2,generic
3,generic
3,generic
2,generic
2,generic
0,generic
2,generic
2,generic
9,generic
2,generic
4,generic
2,generic
1,generic
0,generic
3,generic
-1,generic
1,generic
0,generic
5,generic
6,generic
0,generic
2,generic
0,generic
6,generic
3,generic
2,generic
0,generic
2,generic
1,generic
0,generic
3,generic
4,generic
0,generic
3,generic
0,generic
2,generic
1,generic
0,generic
5,generic
10,generic
2,generic
5,generic
0,generic
0,generic
2,generic
2,generic
2,generic
0,generic
2,generic
1,generic
1,generic
2,generic
0,generic
2,generic
5,generic
3,generic
1,generic
0,generic
0,generic
2,generic
0,generic
5,generic
-1,generic
0,generic
1,generic
0,generic
0,generic
3,generic
5,generic
2,generic
1,generic
0,generic
7,generic
0,generic
2,generic
3,generic
1,generic
1,generic
1,generic
0,generic
-1,generic
0,generic
5,generic
8,generic
3,generic
2,generic
2,generic
3,generic
1,generic
2,generic
0,generic
1,generic
1,generic
0,generic
1,generic
0,generic
0,generic
3,generic
0,generic
1,generic
0,generic
0,generic
3,generic
4,generic
1,generic
6,generic
3,generic
1,generic
1,generic
3,generic
0,generic
1,generic
5,generic
0,generic
1,generic
7,generic
-1,generic
6,generic
4,generic
5,generic
2,generic
2,generic
6,generic
2,generic
1,generic
0,generic
2,generic
0,generic
0,generic
0,generic
0,generic
1,generic
0,generic
4,generic
0,generic
0,generic
0,generic
1,generic
4,generic
2,generic
6,generic
2,generic
3,generic
0,generic
1,generic
1,generic
2,generic
3,generic
0,generic
9,generic
2,generic
1,generic
10,generic
-1,generic
2,generic
2,generic
4,generic
1,generic
9,generic
6,generic
5,generic
2,generic
2,generic
0,generic
4,generic
0,generic
3,generic
1,generic
0,generic
1,generic
2,generic
3,generic
1,generic
1,generic
3,generic
1,generic
1,generic
2,generic
3,generic
4,generic
1,generic
0,generic
4,generic
3,generic
3,generic
0,generic
3,generic
2,generic
1,generic
0,generic
6,generic
0,generic
4,generic
6,generic
0,generic
2,generic
0,generic
1,generic
4,generic
3,generic
5,generic
1,generic
4,generic
0,generic
0,generic
0,generic
0,generic
1,generic
5,generic
2,generic
3,generic
1,generic
0,generic
3,generic
5,generic
5,generic
2,generic
1,generic
6,generic
0,generic
0,generic
0,generic
1,generic
7,generic
1,generic
2,generic
10,generic
3,generic
10,generic
2,generic
1,generic
2,generic
1,generic
0,generic
4,generic
3,generic
3,generic
2,generic
5,generic
2,generic
6,generic
2,generic
1,generic
1,generic
2,generic
2,generic
1,generic
2,generic
2,generic
0,generic
4,generic
1,generic
4,generic
0,generic
1,generic
2,generic
2,generic
3,generic
2,generic
7,generic
1,generic
5,generic
1,generic
3,generic
5,generic
2,generic
1,generic
5,generic
5,generic
2,generic
1,generic
3,generic
8,generic
6,generic
9,generic
3,generic
3,generic
0,generic
2,generic
0,generic
3,generic
1,generic
0,generic
0,generic
0,generic
1,generic
1,generic
0,generic
0,generic
6,generic
3,generic
7,generic
10,generic
1,generic
0,generic
1,generic
0,generic
0,generic
-1,generic
0,generic
-1,generic
0,generic
-1,generic
2,generic
0,generic
0,generic
0,generic
2,generic
0,generic
6,generic
2,generic
2,generic
0,generic
-1,generic
-1,generic
1,generic
1,generic
6,generic
2,generic
2,generic
10,generic
0,generic
0,generic
1,generic
1,generic
1,generic
1,generic
0,generic
2,generic
2,generic
2,generic
1,generic
6,generic
0,generic
2,generic
6,generic
0,generic
4,generic
6,generic
2,generic
1,generic
2,generic
0,generic
1,generic
0,generic
1,generic
0,generic
1,generic
2,generic
3,generic
1,generic
0,generic
2,generic
0,generic
4,generic
3,generic
0,generic
6,generic
1,generic
5,generic
0,generic
1,generic
1,generic
0,generic
0,generic
4,generic
5,generic
1,generic
2,generic
1,generic
2,generic
4,generic
0,generic
2,generic
0,generic
2,generic
5,generic
0,generic
5,generic
1,generic
4,generic
3,generic
7,generic
6,generic
2,generic
4,generic
1,generic
0,generic
0,generic
5,generic
6,generic
2,generic
0,generic
5,generic
1,generic
0,generic
3,generic
2,generic
4,generic
5,generic
4,generic
2,generic
2,generic
0,generic
4,generic
2,generic
0,generic
3,generic
2,generic
0,generic
0,generic
3,generic
5,generic
1,generic
5,generic
5,generic
4,generic
1,generic
0,generic
5,generic
4,generic
0,generic
3,generic
1,generic
3,generic
2,generic
2,generic
2,generic
0,generic
7,generic
1,generic
1,generic
3,generic
2,generic
0,generic
2,generic
2,generic
2,generic
2,generic
1,generic
2,generic
0,generic
4,generic
3,generic
6,generic
1,generic
3,generic
4,generic
4,generic
1,generic
2,generic
1,generic
1,generic
4,generic
1,generic
5,generic
1,generic
0,generic
5,generic
1,generic
1,generic
2,generic
0,generic
6,generic
1,generic
0,generic
2,generic
3,generic
5,generic
1,generic
0,generic
0,generic
0,generic
1,generic
0,generic
0,generic
0,generic
3,generic
5,generic
2,generic
5,generic
5,generic
-1,generic
2,generic
-1,generic
8,generic
-1,generic
5,generic
6,generic
2,generic
1,generic
3,generic
1,generic
2,generic
1,generic
0,generic
-1,generic
0,generic
3,generic
8,generic
1,generic
1,generic
2,generic
0,generic
1,generic
3,generic
2,generic
3,generic
6,generic
2,generic
1,generic
0,generic
-1,generic
7,generic
0,generic
1,generic
2,generic
1,generic
0,generic
0,generic
1,generic
5,generic
2,generic
3,generic
0,generic
0,generic
4,generic
2,generic
2,generic
0,generic
6,generic
1,generic
0,generic
1,generic
0,generic
1,generic
0,generic
1,generic
2,generic
3,generic
0,generic
2,generic
6,generic
4,generic
0,generic
3,generic
0,generic
7,generic
3,generic
2,generic
1,generic
2,generic
0,generic
2,generic
3,generic
1,generic
5,generic
3,generic
0,generic
2,generic
5,generic
3,generic
1,generic
2,generic
2,generic
4,generic
0,generic
2,generic
2,generic
0,generic
0,generic
3,generic
1,generic
0,generic
2,generic
0,generic
2,generic
1,generic
1,generic
3,generic
1,generic
1,generic
3,generic
0,generic
2,generic
7,generic
4,generic
2,generic
2,generic
3,generic
-1,generic
2,generic
6,generic
0,generic
3,generic
2,generic
0,generic
0,generic
0,generic
1,generic
3,generic
2,generic
4,generic
3,generic
0,generic
0,generic
3,generic
7,generic
9,generic
0,generic
2,generic
10,generic
3,generic
1,generic
4,generic
3,generic
2,generic
7,generic
1,generic
2,generic
0,generic
0,generic
0,generic
0,generic
1,generic
0,generic
0,generic
5,generic
3,generic
2,generic
3,generic
5,generic
2,generic
0,generic
1,generic
3,generic
1,generic
2,generic
0,generic
0,generic
1,generic
7,generic
5,generic
0,generic
0,generic
1,generic
-1,generic
0,generic
2,generic
0,generic
0,generic
1,generic
3,generic
2,generic
3,generic
0,generic
9,generic
1,generic
0,generic
5,generic
3,generic
0,generic
0,generic
4,generic
5,generic
1,generic
2,generic
10,generic
1,generic
0,generic
9,generic
2,generic
3,generic
1,generic
0,generic
2,generic
4,generic
0,generic
6,generic
0,generic
1,generic
2,generic
1,generic
-1,generic
3,generic
-1,generic
3,generic
1,generic
0,generic
1,generic
3,generic
1,generic
3,generic
5,generic
6,generic
3,generic
5,generic
2,generic
1,generic
2,generic
2,generic
2,generic
1,generic
1,generic
1,generic
0,generic
3,generic
2,generic
7,generic
5,generic
3,generic
0,generic
2,generic
2,generic
2,generic
3,generic
0,generic
3,generic
0,generic
2,generic
8,generic
2,generic
1,generic
2,generic
1,generic
0,generic
4,generic
1,generic
0,generic
9,generic
2,generic
0,generic
3,generic
2,generic
3,generic
0,generic
3,generic
2,generic
2,generic
1,generic
1,generic
1,generic
0,generic
2,generic
0,generic
2,generic
1,generic
6,generic
1,generic
0,generic
0,generic
2,generic
3,generic
4,generic
3,generic
1,generic
5,generic
0,generic
3,generic
2,generic
3,generic
3,generic
3,generic
0,generic
2,generic
3,generic
4,generic
0,generic
7,generic
4,generic
0,generic
5,generic
1,generic
7,generic
3,generic
2,generic
9,generic
0,generic
2,generic
4,generic
4,generic
2,generic
2,generic
1,generic
-1,generic
0,generic
3,generic
4,generic
2,generic
1,generic
1,generic
1,generic
2,generic
0,generic
1,generic
0,generic
3,generic
0,generic
1,generic
2,generic
1,generic
4,generic
-1,generic
0,generic
0,generic
2,generic
3,generic
1,generic
1,generic
0,generic
2,generic
0,generic
4,generic
3,generic
2,generic
3,generic
0,generic
5,generic
2,generic
0,generic
0,generic
0,generic
6,generic
1,generic
2,generic
2,generic
0,generic
2,generic
-1,generic
1,generic
3,generic
0,generic
0,generic
3,generic
6,generic
1,generic
1,generic
2,generic
-1,generic
1,generic
2,generic
0,generic
3,generic
3,generic
1,generic
2,generic
2,generic
9,generic
0,generic
3,generic
-1,generic
1,generic
3,generic
2,generic
3,generic
2,generic
1,generic
3,generic
0,generic
1,generic
0,generic
1,generic
0,generic
8,generic
0,generic
3,generic
0,generic
2,generic
6,generic
2,generic
1,generic
4,generic
3,generic
2,generic
1,generic
1,generic
8,generic
7,generic
1,generic
0,generic
0,generic
0,generic
6,generic
1,generic
4,generic
3,generic
0,generic
7,generic
2,generic
0,generic
1,generic
5,generic
3,generic
0,generic
0,generic
0,generic
2,generic
1,generic
1,generic
0,generic
8,generic
1,generic
1,generic
2,generic
5,generic
1,generic
0,generic
0,generic
9,generic
1,generic
1,generic
1,generic
0,generic
0,generic
3,generic
1,generic
0,generic
4,generic
0,generic
-1,generic
3,generic
2,generic
2,generic
8,generic
1,generic
1,generic
2,generic
7,generic
-1,generic
2,generic
2,generic
0,generic
1,generic
3,generic
2,generic
0,generic
-1,generic
5,generic
2,generic
7,generic
5,generic
1,generic
0,generic
0,generic
0,generic
1,generic
3,generic
4,generic
5,generic
9,generic
1,generic
0,generic
1,generic
2,generic
1,generic
1,generic
4,generic
1,generic
1,generic
2,generic
0,generic
2,generic
0,generic
4,generic
1,generic
1,generic
0,generic
1,generic
5,generic
9,generic
1,generic
5,generic
3,generic
0,generic
2,generic
8,generic
1,generic
4,generic
1,generic
2,generic
1,generic
2,generic
3,generic
2,generic
1,generic
4,generic
0,generic
0,generic
3,generic
6,generic
0,generic
0,generic
5,generic
0,generic
1,generic
2,generic
3,generic
3,generic
3,generic
2,generic
1,generic
1,generic
3,generic
1,generic
1,generic
6,generic
3,generic
0,generic
2,generic
7,generic
6,generic
0,generic
0,generic
2,generic
8,generic
0,generic
0,generic
0,generic
1,generic
1,generic
6,generic
1,generic
3,generic
6,generic
5,generic
0,generic
5,generic
0,generic
0,generic
3,generic
1,generic
1,generic
4,generic
6,generic
2,generic
2,generic
0,generic
6,generic
1,generic
1,generic
3,generic
6,generic
5,generic
0,generic
0,generic
0,generic
0,generic
2,generic
0,generic
2,generic
2,generic
2,generic
0,generic
2,generic
0,generic
0,generic
1,generic
0,generic
0,generic
2,generic
10,generic
10,generic
1,generic
0,generic
1,generic
2,generic
-1,generic
0,generic
1,generic
1,generic
1,generic
1,generic
2,generic
1,generic
1,generic
2,generic
1,generic
8,generic
0,generic
0,generic
3,generic
3,generic
2,generic
0,generic
0,generic
3,generic
1,generic
2,generic
0,generic
2,generic
6,generic
4,generic
0,generic
-1,generic
0,generic
1,generic
3,generic
-1,generic
3,generic
-1,generic
6,generic
2,generic
1,generic
1,generic
4,generic
4,generic
-1,generic
0,generic
0,generic
1,generic
0,generic
0,generic
1,generic
0,generic
-1,generic
3,generic
1,generic
6,generic
6,generic
0,generic
0,generic
9,generic
0,generic
3,generic
3,generic
7,generic
0,generic
6,generic
-1,generic
4,generic
8,generic
2,generic
1,generic
2,generic
2,generic
0,generic
1,generic
1,generic
2,generic
2,generic
6,generic
0,generic
0,generic
6,generic
0,generic
3,generic
2,generic
0,generic
0,generic
2,generic
2,generic
0,generic
3,generic
1,generic
5,generic
3,generic
1,generic
3,generic
2,generic
5,generic
1,generic
0,generic
1,generic
